Afghanistan,31-05-2020,38460,15205,39.5
Albania,09-06-2020,16716,1299,7.8
Algeria,20-06-2020,22467,11631,51.8
Argentina,28-06-2020,329036,55343,17.1
Armenia,24-05-2020,50397,6661,13.2
Australia,12-07-2020,3075488,9796,0.32
Austria,11-07-2020,691709,18704,2.7
Azerbaijan,31-05-2020,298648,5494,1.8
Bahrain,21-06-2020,477788,21764,4.6
Bangladesh,02-07-2020,805697,153277,19
Barbados,05-07-2020,8251,98,1.2
Belarus,07-07-2020,1078267,64003,5.9
Belgium,23-05-2020,768706,56810,7.4
Bhutan,05-06-2020,18821,48,0.13
Bolivia,20-06-2020,56964,23512,41.3
Bosnia and Herzegovina,09-07-2020,106214,6086,5.7
Brazil,09-07-2020,4887188,1759103,36
Bulgaria,24-05-2020,74096,2427,3.3
Burkina Faso,21-05-2020,6642,814,12.3
Cameroon,10-05-2020,10268,2579,25.1
Canada,26-06-2020,2598243,102794,4
Chile,05-07-2020,1181884,295532,25
China,22-06-2020,90410000,90083,0.09
Colombia,06-07-2020,881190,120281,13.6
Costa Rica,21-06-2020,35369,2213,6.3
Croatia,12-07-2020,93571,3722,4
Cuba,21-06-2020,151164,2312,1.5
Cyprus[c],23-05-2020,99733,927,0.93
Czechia,11-07-2020,594454,13115,2.2
Denmark,22-06-2020,753812,12727,1.7
DR Congo,02-06-2020,9508,3195,33.6
Ecuador,20-06-2020,138880,50183,36.1
Egypt,02-06-2020,141002,26384,18.7
El Salvador,21-06-2020,140429,4626,3.3
Estonia,08-06-2020,90621,1940,2.1
Ethiopia,23-06-2020,223341,4848,2.17
Finland,19-06-2020,229843,7142,3.1
France[d],07-07-2020,2756843,168810,6.1
Germany,08-07-2020,6376054,198765,3.1
Ghana,07-05-2020,137924,3091,2.2
Greece,10-05-2020,98877,4015,4.1
Grenada,18-06-2020,5465,23,0.42
Guinea,06-05-2020,7369,1856,25.2
Hungary,08-06-2020,210749,4014,1.9
Iceland,21-06-2020,69190,1823,2.6
India,13-07-2020,11806256,878254,7.4
Indonesia,10-07-2020,1015678,72347,7.1
Iran,05-06-2020,1040289,167156,16.1
Iraq,07-05-2020,120604,2543,2.1
Ireland,11-07-2020,500578,25611,5.1
Israel,12-07-2020,1268489,38213,3
Italy,12-07-2020,5938811,243061,4.1
Ivory Coast,25-05-2020,18303,2423,13.2
Jamaica,12-05-2020,7465,507,6.8
Japan,17-06-2020,599339,17382,2.9
Kazakhstan,31-05-2020,812881,10858,1.3
Kenya,10-05-2020,32097,672,2.1
Kosovo,09-06-2020,17199,1269,7.4
Kyrgyzstan,05-05-2020,58030,843,1.5
Latvia,09-07-2020,163769,1154,0.7
Lebanon,12-05-2020,53269,870,1.6
Libya,02-06-2020,6871,156,2.3
Lithuania,03-07-2020,436679,1828,0.42
Luxembourg,09-07-2020,255709,4719,1.8
Madagascar,02-06-2020,11311,826,7.3
Malawi,21-06-2020,10880,749,6.9
Malaysia,16-06-2020,659632,8505,1.3
Maldives,22-05-2020,17174,1274,7.4
Malta,05-07-2020,101937,672,0.66
Mauritius,02-06-2020,120358,335,0.28
Mexico,28-06-2020,483953,212802,44
Montenegro,05-05-2020,8534,324,3.8
Morocco,02-06-2020,221154,7859,3.6
Mozambique,05-07-2020,33125,987,3
Myanmar,31-05-2020,84473,313,0.37
Nepal,24-06-2020,457950,10099,2.2
Netherlands,30-06-2020,616376,50273,8.2
New Zealand,19-06-2020,335167,1159,0.35
Nigeria,07-06-2020,76802,12486,16.3
North Korea,19-06-2020,922,0,0
North Macedonia,01-06-2020,30302,2315,7.6
Northern Cyprus[e],30-05-2020,31346,108,0.34
Norway,03-07-2020,348208,8895,2.6
Oman,01-07-2020,194945,41194,21.1
Pakistan,02-07-2020,1350773,221896,16.4
Palestine,08-07-2020,122555,5092,4.2
Panama,05-07-2020,144918,38149,26.3
Paraguay,19-06-2020,54278,1336,2.5
Peru,12-07-2020,1925231,326326,16.9
Philippines,09-07-2020,935763,51754,5.5
Poland,01-06-2020,931520,23987,2.6
Portugal,02-07-2020,1205593,42782,3.5
Qatar,26-06-2020,341914,92784,27.1
Romania,28-05-2020,410000,18791,4.6
Russia,11-07-2020,23031056,727162,3.2
Rwanda,21-06-2020,111257,728,0.65
Saint Lucia,06-07-2020,1897,22,1.2
Saudi Arabia,09-06-2020,976815,105283,10.8
Senegal,11-05-2020,22481,1886,8.4
Serbia,03-07-2020,426981,15504,3.6
Singapore,29-06-2020,757746,43661,5.8
Slovakia,08-07-2020,221494,1798,0.81
Slovenia,07-06-2020,84684,1495,1.8
South Africa,11-07-2020,2108570,264184,12.5
South Korea,28-06-2020,1232690,12715,1
Spain,02-07-2020,5734599,251789,4.4
Sri Lanka,16-06-2020,90010,1915,2.1
Sudan,02-06-2020,7825,5173,66.1
Sweden,17-06-2020,382804,52189,13.6
Switzerland[f],16-06-2020,465722,31146,6.7
Taiwan[g],10-07-2020,78212,449,0.57
Tanzania,06-06-2020,2680,509,19
Thailand,07-05-2020,89791,2992,3.3
Trinidad and Tobago,29-06-2020,4969,126,2.3
Tunisia,02-06-2020,52874,1086,2.1
Turkey,12-07-2020,3975455,212993,5.4
Uganda,21-06-2020,166917,770,0.46
Ukraine,01-07-2020,666147,44998,6.8
United Arab Emirates,23-06-2020,3055566,45683,1.5
United Kingdom,11-07-2020,9036673,289603,3.2
United States,12-07-2020,40282536,3292329,8.2
Uruguay,19-06-2020,56234,853,1.5
Uzbekistan,07-05-2020,371000,2298,0.62
Venezuela,20-06-2020,1129176,3790,0.34
Vietnam,15-06-2020,261004,334,0.13
Zimbabwe,21-06-2020,55709,463,0.83
Afghanistan,31-05-2020,38460,15205,39.5
Albania,30-05-2020,14269,1099,7.7
Algeria,02-06-2020,18928,9513,50.3
Argentina,23-05-2020,189278,21037,11.1
Armenia,24-05-2020,50397,6661,13.2
Australia,07-06-2020,1617462,7260,0.45
Austria,08-06-2020,494761,16883,3.4
Azerbaijan,31-05-2020,298648,5494,1.8
